,Close-Close Change,Volume,Annualised 30D Volatility,Future 1D,Future 3D,Future 5D,Future 10D,1D increase,3D increase,5D increase,10D increase
2018-11-15,1.0105938006647959,4179140000,0.2227008059290179,1.0022232803457622,0.9676543842941909,0.964237052230606,1.0109772177862428,True,False,False,True
2018-11-16,1.0022232803457622,3975180000,0.22274633079787048,0.9833569055685294,0.9684460963282131,0.9770417393020424,1.01977144068385,False,False,False,True
2018-11-19,0.9833569055685294,3772900000,0.22687542213702774,0.9818487919635192,0.9783813314602358,0.9968187071909856,1.0034674605032832,False,False,False,True
2018-11-20,0.9818487919635192,4357900000,0.23150074831133136,1.003043275836617,1.011945993209407,1.0385708716108544,1.0204626233491927,True,True,True,True
2018-11-21,1.003043275836617,3233550000,0.21364652294244732,0.9934451098708268,1.0121663591113728,1.0331593664738312,0.9936413414693965,False,True,True,False
2018-11-23,0.9934451098708268,1651650000,0.20656080315363967,1.0155324095177318,1.0422516485854072,1.0484737289938308,1.0019600692861692,True,True,True,True
2018-11-26,1.0155324095177318,3443950000,0.20744905023530624,1.0032617030428848,1.024070021881838,1.0437337522676686,0.9862836409882356,True,True,True,False
2018-11-27,1.0032617030428848,3485220000,0.207291648047784,1.022973935283744,1.0290809307389164,1.006669972447682,0.98840491094897,True,True,True,False
2018-11-28,1.022973935283744,3951670000,0.2087101983094918,0.9978168883187124,1.016976517882199,0.9825642633000333,0.9660141628914747,False,True,False,False
2018-11-29,0.9978168883187124,3560770000,0.20874844299772388,1.0081707940682298,0.986215209292132,0.9617503104682587,0.9496493534955069,True,False,False,False
2018-11-30,1.0081707940682298,4658580000,0.20618511080982796,1.0109413550614634,0.9767333171507548,0.9556367904875421,0.9223852154033989,True,False,False,False
2018-12-03,1.0109413550614634,4186060000,0.20861153191783796,0.9676351164899278,0.9436311313553397,0.9449571203818846,0.9124811404939125,False,False,False,False
2018-12-04,0.9676351164899278,4499840000,0.22892195441788615,0.9984778116041864,0.976911624186129,0.981855958756472,0.9284830707465758,False,False,False,False
2018-12-06,0.9984778116041864,5141470000,0.2284667687817697,0.9766798345666649,0.9780522635805562,0.9831562158051895,0.9152321074203899,False,False,False,False
2018-12-07,0.9766798345666649,4216690000,0.2206515032779249,1.001762194844061,1.006832302854452,0.9874177769000564,0.9177920913910705,True,True,False,False
2018-12-10,1.001762194844061,4151030000,0.2134473522586262,0.9996436316212488,1.004860258101694,0.9652047980831933,0.8913379737045631,False,True,False,False
2018-12-11,0.9996436316212488,3905870000,0.20758671839336587,1.0054194889220944,0.9860322059481641,0.9656323242743039,0.9358763340134556,True,False,False,False
2018-12-12,1.0054194889220944,3958890000,0.207297218035243,0.9998000807221236,0.9603443138053691,0.9456408167268309,0.9388020685987166,False,False,False,False
2018-12-13,0.9998000807221236,3927720000,0.20204860133900468,0.9809133233227946,0.9606193454918617,0.9309121914779628,0.9378239905830507,False,False,False,False
