Date,Volume,Adj Close(dividends and splits),30D avg price,30D annualised volatility,Annualised
2018-01-30,3990650000,2822.43,2752.698,1037.9456934727602,0.08334262390947503
2018-01-31,4261280000,2823.81,2757.6313333333333,1031.2896398962164,0.08084425246925325
2018-02-01,3938450000,2821.98,2762.025333333333,1027.1067143187433,0.0804238767195996
2018-02-02,4301130000,2762.13,2764.714,998.3362224987759,0.10341576930436301
2018-02-05,5283460000,2648.94,2763.703666666667,1024.4080566063617,0.15974512733355103
2018-02-06,5891660000,2695.14,2764.0559999999996,1017.7492596943014,0.16777009263928325
2018-02-07,4626570000,2681.66,2764.0,1018.9180282552034,0.16843708320612313
2018-02-08,5305440000,2581.0,2760.6833333333334,1125.0545335564354,0.20060223305849864
2018-02-09,5680070000,2619.55,2758.581,1176.7445241858604,0.205929311656922
2018-02-12,4055790000,2656.0,2757.5296666666673,1196.672225528099,0.2101592774719455
2018-02-13,3472870000,2662.94,2757.1740000000004,1203.5541440228237,0.20980191847080917
2018-02-14,4003740000,2698.63,2757.268000000001,1202.331879837889,0.21207380725296104
2018-02-15,3684910000,2731.2,2757.8726666666676,1197.6765027945714,0.21415854832852646
2018-02-16,3637460000,2732.22,2758.1470000000004,1195.8894871494233,0.21386906419083926
2018-02-20,3627610000,2716.26,2757.2506666666673,1201.3467500905522,0.21354386267154957
2018-02-21,3779400000,2701.33,2755.704666666667,1212.0204487998526,0.21399731143885903
2018-02-22,3701270000,2703.96,2754.127000000001,1221.2460814515316,0.2139756218572
2018-02-23,3189190000,2747.3,2754.096000000001,1221.2880775674132,0.2192438743504428
2018-02-26,3424650000,2779.6,2754.4973333333346,1222.9388971095325,0.22096587974632706
2018-02-27,3745080000,2744.28,2753.0986666666677,1219.5167258436625,0.22316919383116868
2018-02-28,4230660000,2713.83,2751.0123333333345,1222.603714114648,0.22515767567987616
2018-03-01,4503970000,2677.67,2746.8493333333345,1230.4042531853474,0.22595870740762192
2018-03-02,3882450000,2691.25,2743.2900000000013,1230.7282338742448,0.22673806257151197
2018-03-05,3710810000,2720.94,2740.3113333333345,1215.6069264329544,0.22896731269961168
2018-03-06,3370690000,2728.12,2736.8163333333346,1183.7234681782384,0.22764136487408773
2018-03-07,3393270000,2726.8,2733.072000000001,1143.4395992877674,0.2274337299516114
2018-03-08,3212320000,2738.97,2729.786333333335,1100.048633939958,0.22803023380476656
2018-03-09,3364100000,2786.57,2728.030333333335,1064.5186411409704,0.23420409490238867
2018-03-12,3185020000,2783.02,2725.035333333335,987.3407171855544,0.23125622256657968
2018-03-13,3301650000,2765.31,2722.0946666666687,918.2638885261192,0.23117871193888928
2018-03-14,3391360000,2749.48,2719.663000000002,872.1832711464168,0.22972412737706135
2018-03-15,3500330000,2747.33,2717.113666666669,819.3947923622812,0.22969312884088533
2018-03-16,5372340000,2752.01,2714.781333333335,764.8607126962991,0.22980883726380621
2018-03-19,3302130000,2712.92,2713.141000000002,751.5712038867704,0.22523730707308776
2018-03-20,3261030000,2716.94,2715.4076666666683,726.5181177901374,0.1897513698947615
2018-03-21,3415510000,2711.93,2715.967333333335,724.0735409745284,0.18327772143698848
2018-03-22,3739800000,2643.69,2714.701666666668,747.6844904794615,0.19711146040122088
2018-03-23,3815080000,2588.26,2714.943666666668,736.6174004976701,0.17454252759829172
2018-03-26,3511100000,2658.55,2716.243666666668,700.5172555595134,0.18670757167548366
2018-03-27,3706350000,2612.62,2714.7976666666677,742.9335926522086,0.18918883846663523
2018-03-28,3864500000,2605.0,2712.8663333333343,795.215657732011,0.18908202516847064
2018-03-29,3565990000,2640.87,2710.9410000000007,821.3909020100698,0.18932224870076558
2018-04-02,3598520000,2581.88,2705.963666666668,899.6663827710644,0.1953971242894513
2018-04-03,3392810000,2614.45,2702.038000000001,933.8978764401448,0.19975231269562163
2018-04-04,3350340000,2644.69,2699.6523333333344,947.366040943267,0.2027315287191133
2018-04-05,3178970000,2662.84,2698.3693333333345,953.322929225818,0.20341266518734408
2018-04-06,3299700000,2604.47,2695.053000000001,991.1121791750317,0.21268129048875725
2018-04-09,3062960000,2613.16,2690.5816666666674,1005.8069929646916,0.20686876239311605
2018-04-10,3543930000,2656.87,2686.490666666667,973.8075793616518,0.2101298370339912
2018-04-11,3020760000,2642.19,2683.0876666666672,966.0828897121714,0.20779550064317742
2018-04-12,3021320000,2663.99,2681.4263333333342,963.0957492049747,0.20733784282283554
2018-04-13,2960910000,2656.3,2680.714000000001,965.8077421274095,0.20392190655251535
2018-04-16,3019700000,2677.84,2680.2670000000007,965.3184277554634,0.20479072988147115
2018-04-17,3234360000,2706.39,2679.7820000000006,960.9021950905294,0.2046187015682278
2018-04-18,3383410000,2708.64,2679.1326666666673,954.0208593079221,0.20447562101182054
2018-04-19,3349370000,2693.13,2678.010333333334,944.34397135432,0.20511159998655656
2018-04-20,3388590000,2670.14,2675.716000000001,926.6391253647241,0.20592883337283846
2018-04-23,3017480000,2670.29,2671.8400000000006,864.9946177389761,0.19865687904761414
2018-04-24,3706740000,2634.56,2666.8913333333335,804.0495559304098,0.20169535915423073
2018-04-25,3499440000,2639.4,2662.6943333333334,751.1997519197608,0.20146472185107545
2018-04-26,3665720000,2666.94,2659.943,705.0078009342222,0.20393059513374487
2018-04-27,3219030000,2669.91,2657.3623333333335,655.594876609056,0.20401698496605605
2018-04-30,3734530000,2648.05,2653.8970000000004,591.2564605921114,0.20494375268772255
2018-05-01,3559850000,2654.8,2651.9596666666675,564.2167789668929,0.20142959109476105
2018-05-02,4010770000,2635.67,2649.2506666666673,531.075986739401,0.20220525536786893
2018-05-03,3851470000,2629.73,2646.5106666666675,499.25620767800825,0.2022247776861609
2018-05-04,3327220000,2663.42,2647.168333333334,501.55703979967376,0.19242197120630494
2018-05-07,3237960000,2672.63,2649.9806666666677,474.3166830892044,0.18166412661865688
2018-05-08,3717570000,2671.92,2650.4263333333342,477.98436787184517,0.16406073206759478
2018-05-09,3909500000,2697.79,2653.265333333334,483.15761458331883,0.157555655578283
2018-05-10,3333050000,2723.07,2657.201000000001,501.5001734810872,0.15884109982522107
2018-05-11,2862700000,2727.72,2660.096000000001,538.7142788428213,0.15455177201846737
2018-05-14,2972660000,2730.13,2665.037666666668,522.7873600048654,0.13764816916335
2018-05-15,3290680000,2711.45,2668.271000000001,516.7803055406084,0.13602777939131488
2018-05-16,3202670000,2722.46,2670.8633333333346,534.7847390855296,0.1327822309144226
2018-05-17,3475400000,2720.13,2672.7730000000015,552.7894807236974,0.1317010371674844
2018-05-18,3368690000,2712.97,2676.3896666666683,525.0401934684519,0.11345997495107069
2018-05-21,3019890000,2733.01,2680.3846666666677,514.4154614291673,0.11466583132887169
2018-05-22,3366310000,2724.44,2682.6370000000015,524.7489349749837,0.10589252764559672
2018-05-23,3326290000,2733.29,2685.673666666668,530.1291227604402,0.1043377190344977
2018-05-24,3256030000,2727.76,2687.7993333333343,539.5969708717079,0.10249587416715217
2018-05-25,2995260000,2721.33,2689.967000000001,539.5255791949469,0.10234137183004485
2018-05-29,3736890000,2689.86,2690.3676666666674,538.3011833807267,0.10599504997071336
2018-05-30,3561050000,2724.01,2690.955000000001,545.2361682352415,0.10789160861647076
2018-05-31,4235370000,2705.27,2690.842666666668,544.3731230996145,0.10982085532048126
2018-06-01,3684130000,2734.62,2692.225666666667,558.9734769367356,0.1128017273981893
2018-06-04,3376510000,2746.87,2694.7833333333338,576.5888759916902,0.10997939205064879
2018-06-05,3517790000,2748.8,2697.400333333334,592.2929178511822,0.10994877359116115
2018-06-06,3651640000,2772.35,2701.9933333333342,599.8421159859101,0.103217124487481
2018-06-07,3711330000,2770.37,2706.3590000000013,601.1854855671878,0.10345680281415971
